Created,2000-01-01,01:34:56
WIO name,Master logger
WIO firmware,Local Sensors 0.1
Log interval (s),2
Time since turn-on,00:01:03
Sensor name,,Battery,,,,Printer chamber,,,,,,,,Room,,,,,,,,Multigas V2,,,,SCD40,,
Time,Sample time (s),SOC,Capacity,Voltage,Current,PM1,PM2.5,PM4,PM10,VOC,NO,Temp,RelHumi,PM1,PM2.5,PM4,PM10,VOC,NO,Temp,RelHumi,VOC,CO,NO2,C2H5CH,CO2,Temp,RelHumi
01:34:56,0,100,588,4196,0,0.70,0.90,1.00,1.10,39.00,1.00,27.33,41.13,0.40,0.50,0.50,0.50,44.00,1.00,31.40,50.54,459,241,346,343,471,28.77,35.81
01:34:58,2,100,588,4196,0,0.60,0.80,1.00,1.00,44.00,1.00,27.19,41.80,0.40,0.40,0.50,0.50,51.00,1.00,31.34,50.90,459,241,346,343,472,28.62,36.01
01:35:00,4,100,588,4196,0,0.60,0.80,0.90,1.00,48.00,1.00,27.07,42.52,0.40,0.40,0.50,0.50,58.00,1.00,31.30,51.35,459,239,346,342,472,28.62,36.01
01:35:02,6,100,588,4196,0,0.50,0.70,0.80,0.90,53.00,1.00,26.97,43.11,0.40,0.40,0.40,0.50,64.00,1.00,31.25,51.88,459,240,346,342,472,28.62,36.01
01:35:04,8,100,588,4196,0,0.50,0.60,0.70,0.80,57.00,1.00,26.88,43.63,0.40,0.40,0.40,0.40,69.00,1.00,31.22,52.36,459,240,346,342,472,28.53,36.21
01:35:06,10,100,588,4196,0,0.40,0.60,0.70,0.70,61.00,1.00,26.81,44.15,0.40,0.40,0.40,0.40,75.00,1.00,31.18,52.65,460,240,345,342,472,28.53,36.21
01:35:08,12,100,588,4196,0,0.40,0.50,0.60,0.70,66.00,1.00,26.72,44.97,0.40,0.40,0.50,0.50,79.00,1.00,31.15,53.07,459,240,345,341,472,28.43,36.37
01:35:10,14,100,588,4196,0,0.40,0.50,0.60,0.60,69.00,1.00,26.68,45.53,0.50,0.50,0.50,0.50,83.00,1.00,31.13,53.46,459,240,346,342,472,28.43,36.37
01:35:12,16,100,588,4196,0,0.40,0.50,0.60,0.60,73.00,1.00,26.65,45.97,0.50,0.50,0.50,0.60,87.00,1.00,31.11,53.75,459,239,346,342,473,28.30,36.55
01:35:14,18,100,588,4196,0,0.40,0.50,0.60,0.60,76.00,1.00,26.64,46.39,0.50,0.50,0.60,0.60,91.00,1.00,31.09,53.86,459,239,345,341,473,28.30,36.55
01:35:16,20,100,588,4196,0,0.40,0.50,0.60,0.60,79.00,1.00,26.64,46.79,0.50,0.50,0.50,0.50,94.00,1.00,31.08,54.02,459,238,344,340,473,28.30,36.55
01:35:18,22,100,588,4196,0,0.40,0.50,0.60,0.60,81.00,1.00,26.63,47.06,0.50,0.50,0.50,0.50,96.00,1.00,31.06,54.30,459,240,344,341,469,28.19,36.78
01:35:20,24,100,588,4196,0,0.40,0.50,0.60,0.60,84.00,1.00,26.63,47.17,0.50,0.50,0.50,0.50,99.00,1.00,31.05,54.55,460,239,344,340,469,28.19,36.78
01:35:22,26,100,588,4196,0,0.40,0.50,0.60,0.60,85.00,1.00,26.63,47.20,0.50,0.50,0.50,0.50,101.00,1.00,31.05,54.53,460,239,343,340,468,28.08,36.85
01:35:24,28,100,588,4196,0,0.50,0.60,0.70,0.70,87.00,1.00,26.64,47.19,0.50,0.50,0.50,0.50,103.00,1.00,31.04,54.21,459,239,342,339,468,28.08,36.85
01:35:26,30,100,588,4196,0,0.50,0.60,0.70,0.70,87.00,1.00,26.64,47.12,0.50,0.50,0.60,0.60,104.00,1.00,31.03,54.02,459,239,343,339,468,27.95,36.94
01:35:28,32,100,588,4196,0,0.50,0.60,0.70,0.70,88.00,1.00,26.65,46.86,0.50,0.50,0.60,0.60,105.00,1.00,31.03,54.02,460,239,342,338,468,27.95,36.94
01:35:30,34,100,588,4196,0,0.50,0.60,0.70,0.70,89.00,1.00,26.67,46.55,0.50,0.50,0.50,0.60,106.00,1.00,31.02,54.17,459,239,343,339,468,27.95,36.94
